tship_code,township,district,hazard,exposure,vulnerability,risk,risk_100,risk_class
T01,Thongwa,South,0.884292242719898,0.09827959236435677,0.7447152306561632,0.5742935620795249,57.42935620795249,5
T02,Kyauktan,South,0.7999840418413191,0.10995752616237726,0.6569751423802054,0.522722536488411,52.27225364884111,5
T03,Insein,North,0.4493957112284373,0.4459185412404919,0.5386540112594196,0.470493276740402,47.0493276740402,4
T04,Hmawbi,North,0.46176696315067683,0.15903214225504456,0.6805974651720514,0.4105174013425492,41.05174013425492,3
T05,Kayan,South,0.8909371451435282,0.09156920731124199,0.7789710339096583,0.5831668390937605,58.31668390937605,5
T06,Dagon Myothit (North),East,0.585781867313763,0.2730621577892951,0.6736913993323903,0.49830735198485604,49.830735198485606,4
T07,Pazundaung,East,0.48778651985215316,0.2798067846817841,0.5230284100654307,0.42380408509584333,42.380408509584335,3
T08,Kungyangon,South,0.7348575793653326,0.07323007248846738,0.7678056344221507,0.5115249657226344,51.15249657226344,5
T09,Kyauktada,West,0.3672368030743455,0.25517583376252856,0.5086970980180219,0.36338053755112865,36.33805375511287,2
T10,Lanmadaw,West,0.32717994373346737,0.28778041051396985,0.3456430938062117,0.3180058946248293,31.800589462482932,1
T11,Hlegu,North,0.292195862978445,0.19458620310472513,0.7223246103021254,0.36556466885356315,36.556466885356315,2
T12,Htantabin,North,0.5005724731980258,0.10613055850088446,0.7453486356382577,0.4237118436640843,42.37118436640843,3
T13,Botahtaung,East,0.5057128820806175,0.15855624797095516,0.4861881120089926,0.3793268676243295,37.93268676243295,2
T14,Mayangone,West,0.3740601430649195,0.2436537638216904,0.4940449908405286,0.3584141222736916,35.84141222736916,2
T15,Kyeemyindaing,West,0.4223093149597674,0.24579030032391605,0.5719269834274674,0.39793207695414445,39.793207695414445,3
T16,Latha,West,0.3530833763869887,0.24650404909729073,0.3931889399408348,0.32580700272405594,32.58070027240559,1
T17,Mingalartaungnyunt,East,0.49513181459353695,0.23108876629406705,0.5335538368951632,0.4123222532641291,41.23222532641291,3
T18,Tamwe,East,0.4849847273418517,0.4346182025214811,0.5026585534016965,0.4717749001696832,47.17749001696832,4
T19,Thaketa,East,0.561906396874788,0.3189038898691218,0.5317693866200336,0.46932126685911624,46.932126685911626,4
T20,Dagon Myothit (East),East,0.6334322355654585,0.17503094271196207,0.6164661906145661,0.4687502718290117,46.87502718290117,4
T21,Ahlone,West,0.3767597730289096,0.14189777679306517,0.446459350409676,0.3119829686915556,31.198296869155563,1
T22,Shwepyithar,North,0.51042068602249,0.42650773494563715,0.5988916659940728,0.5031688981384872,50.31688981384872,5
T23,Sanchaung,West,0.2895108483810005,0.37101517928097716,0.45920808770330224,0.36046167402656776,36.04616740265678,2
T24,Kawhmu,South,0.6538200197327866,0.08136003833712305,0.7637263239160377,0.4809356022901171,48.093560229011715,4
T25,North Okkalapa,East,0.5805570929101026,0.5797525554040874,0.5493875519311502,0.5724831195382591,57.24831195382591,5
T26,Cocokyun,South,0.6874712066760479,0.0,0.24271701071644314,0.3356677353495299,33.56677353495299,1
T27,Yankin,East,0.4897518351084814,0.1462227476734576,0.5522656954469926,0.38514511959085085,38.514511959085084,2
T28,Thanlyin,South,0.736467870649384,0.21592643790806687,0.648494245929965,0.5322849630100683,53.228496301006835,5
T29,Mingaladon,North,0.42508458606081473,0.26003085292013167,0.5459595934963221,0.39753453132045247,39.753453132045244,2
T30,Dagon Myothit (South),East,0.602637607986087,0.3288703117903202,0.5993385598041031,0.5059942922720727,50.599429227207274,5
T31,Kamaryut,West,0.3057695111324195,0.3442158669356393,0.367273085850383,0.3346016293430373,33.460162934303725,1
T32,Thingangyun,East,0.5676519010571195,0.3531408741825394,0.5603370330014932,0.49074432463710993,49.07443246371099,4
T33,Bahan,West,0.2772950918003684,0.23138457393429857,0.45645513080900235,0.30601642029940246,30.601642029940244,1
T34,Dawbon,East,0.5490200965507337,0.18768113845623785,0.5700819142733806,0.4278169156483219,42.781691564832194,3
T35,Pabedan,West,0.3629381299669311,0.2998500160256792,0.5653709750025613,0.39146550134640046,39.146550134640044,2
T36,Twantay,South,0.5997799665084411,0.13104335110307283,0.7496869142327376,0.4731988880476363,47.319888804763636,4
T37,Seikgyikanaungto,South,0.5979206282664788,0.0355501518890211,0.7240434571779787,0.4326216687622436,43.26216687622436,3
T38,Dagon,West,0.25056374787115343,0.06561347123446053,0.4594013779652184,0.23804055857182715,23.804055857182714,1
T39,Seikkan,West,0.448366682079374,0.015568367477793194,0.34801897627474954,0.27180034551766463,27.180034551766465,1
T40,South Okkalapa,East,0.5687363863255772,0.3009202252537054,0.5323917828711752,0.46591457908682155,46.59145790868215,3
T41,Taikkyi,North,0.1773287384741896,0.16390194977308312,0.7718176288074071,0.3212515850121067,32.12515850121067,1
T42,Hlaing,West,0.41070546708503275,0.2976221687897944,0.4699845835134868,0.38594609178881284,38.594609178881285,2
T43,Dala,South,0.6499408398043407,0.13176074823291475,0.6985940149982186,0.48074110155281113,48.07411015528111,4
T44,Hlaingtharya,North,0.5093685788797379,0.5713714728353259,0.4845918538192224,0.5248754104990648,52.48754104990648,5
T45,Dagon Myothit (Seikkan),East,0.6474468586834279,0.15388822821644432,0.5838090021878168,0.4587918738960809,45.87918738960809,3
