tship_code,township,district,hazard,exposure,vulnerability,risk,risk_100,risk_class,pop_est,elev_mean_m,schools,health_facilities,area_km2
T01,Thongwa,South,0.884292242719898,0.0982795923643567,0.7447152306561632,0.5742935620795249,57.42935620795249,5,157876,4.283411502838135,7,5,720.8834646671315
T02,Kyauktan,South,0.7999840418413191,0.1099575261623772,0.6569751423802054,0.522722536488411,52.27225364884111,5,167448,3.875187635421753,3,13,802.4981138787064
T03,Insein,North,0.4493957112284373,0.4459185412404919,0.5386540112594196,0.470493276740402,47.0493276740402,4,305283,11.478455543518066,57,102,29.82500675693529
T04,Hmawbi,North,0.4617669631506768,0.1590321422550445,0.6805974651720514,0.4105174013425492,41.05174013425492,3,244607,12.187408447265623,12,10,471.3539625223326
T05,Kayan,South,0.8909371451435282,0.0915692073112419,0.7789710339096583,0.5831668390937605,58.31668390937605,5,158019,4.456961154937744,0,7,636.7257740689168
T06,Dagon Myothit (North),East,0.585781867313763,0.2730621577892951,0.6736913993323903,0.498307351984856,49.830735198485606,4,203948,5.297849655151367,55,32,23.855573921863765
T07,Pazundaung,East,0.4877865198521531,0.2798067846817841,0.5230284100654307,0.4238040850958433,42.380408509584335,3,48455,10.579692840576172,17,18,1.1342253741363548
T08,Kungyangon,South,0.7348575793653326,0.0732300724884673,0.7678056344221507,0.5115249657226344,51.15249657226344,5,111632,4.1105241775512695,5,6,595.4630543276155
T09,Kyauktada,West,0.3672368030743455,0.2551758337625285,0.5086970980180219,0.3633805375511286,36.33805375511287,2,29853,14.511956214904783,5,12,0.6611901054890482
T10,Lanmadaw,West,0.3271799437334673,0.2877804105139698,0.3456430938062117,0.3180058946248293,31.80058946248293,1,47160,15.493855476379396,34,32,1.356274842098982
T11,Hlegu,North,0.292195862978445,0.1945862031047251,0.7223246103021254,0.3655646688535631,36.55646688535632,2,270741,36.36994934082031,22,16,1510.1708583120055
T12,Htantabin,North,0.5005724731980258,0.1061305585008844,0.7453486356382577,0.4237118436640843,42.37118436640843,3,145792,4.065871238708496,9,12,599.305816244372
T13,Botahtaung,East,0.5057128820806175,0.1585562479709551,0.4861881120089926,0.3793268676243295,37.93268676243295,2,40995,8.840450286865234,19,21,2.488264149359821
T14,Mayangone,West,0.3740601430649195,0.2436537638216904,0.4940449908405286,0.3584141222736916,35.84141222736916,2,198113,15.253544807434082,33,39,27.02052460159885
T15,Kyeemyindaing,West,0.4223093149597674,0.245790300323916,0.5719269834274674,0.3979320769541444,39.793207695414445,3,111514,7.779721736907959,16,29,4.374128401089422
T16,Latha,West,0.3530833763869887,0.2465040490972907,0.3931889399408348,0.3258070027240559,32.58070027240559,1,25057,14.432904243469238,10,17,0.6159336422952327
T17,Mingalartaungnyunt,East,0.4951318145935369,0.231088766294067,0.5335538368951632,0.4123222532641291,41.23222532641291,3,132494,11.186634063720703,11,14,4.975481956884059
T18,Tamwe,East,0.4849847273418517,0.4346182025214811,0.5026585534016965,0.4717749001696832,47.17749001696832,4,165313,12.171119689941406,43,83,4.955091330274811
T19,Thaketa,East,0.561906396874788,0.3189038898691218,0.5317693866200336,0.4693212668591162,46.932126685911626,4,220556,6.074254035949707,57,31,13.68322722838884
T20,Dagon Myothit (East),East,0.6334322355654585,0.175030942711962,0.6164661906145661,0.4687502718290117,46.87502718290117,4,165628,4.662581443786621,39,19,137.26773857523193
T21,Ahlone,West,0.3767597730289096,0.1418977767930651,0.446459350409676,0.3119829686915556,31.198296869155563,1,55482,10.68354606628418,11,12,3.298930814439682
T22,Shwepyithar,North,0.51042068602249,0.4265077349456371,0.5988916659940728,0.5031688981384872,50.31688981384872,5,343526,6.599477767944336,72,76,56.04090266791698
T23,Sanchaung,West,0.2895108483810005,0.3710151792809771,0.4592080877033022,0.3604616740265677,36.04616740265678,2,99619,20.66402816772461,43,41,2.433847543108323
T24,Kawhmu,South,0.6538200197327866,0.081360038337123,0.7637263239160377,0.4809356022901171,48.09356022901172,4,119050,7.555881500244141,8,6,615.5146112332496
T25,North Okkalapa,East,0.5805570929101026,0.5797525554040874,0.5493875519311502,0.5724831195382591,57.24831195382591,5,333293,5.424383163452148,107,127,27.86033917605978
T26,Cocokyun,South,0.6874712066760479,0.0,0.2427170107164431,0.3356677353495299,33.56677353495299,1,1940,19.00391387939453,0,0,33.31375251821431
T27,Yankin,East,0.4897518351084814,0.1462227476734576,0.5522656954469926,0.3851451195908508,38.51451195908509,2,70946,13.326987266540527,15,12,4.7737103493902575
T28,Thanlyin,South,0.736467870649384,0.2159264379080668,0.648494245929965,0.5322849630100683,53.22849630100684,5,268063,4.836902618408203,37,15,359.47156446478374
