kec_code,kecamatan,kota,pop_est,area_km2,pop_density
31.73.07,Pal Merah,Jakarta Barat,172341.74207509693,7.367792178364768,23391.23280121441
31.73.08,Kembangan,Jakarta Barat,510804.2443582235,24.928021815149418,20491.166452999263
31.73.05,Kebon Jeruk,Jakarta Barat,413064.0887942248,17.65588178094775,23395.268155904694
31.73.06,Kalideres,Jakarta Barat,562830.366046588,28.97785284659836,19422.776733185645
31.73.03,Taman Sari,Jakarta Barat,105137.56183539388,4.497030069448903,23379.332628807206
31.73.04,Tambora,Jakarta Barat,127547.91367822669,5.414988928045513,23554.60285756556
31.73.01,Cengkareng,Jakarta Barat,542661.3092542444,25.719132241972947,21099.51860539974
31.73.02,Grogol Petamburan,Jakarta Barat,247849.3703681574,10.832629465406722,22879.889980511914
31.74.01,Tebet,Jakarta Selatan,152118.3341741214,9.34976095243568,16269.756515485402
31.74.04,Pasar Minggu,Jakarta Selatan,331108.3499117717,21.61964982972168,15315.157854988913
31.74.05,Kebayoran Lama,Jakarta Selatan,297484.426646002,19.05921085217024,15608.433578566972
31.74.02,Setiabudi,Jakarta Selatan,130326.55202791082,8.923368530272393,14605.08456932827
31.74.03,Mampang Prapatan,Jakarta Selatan,131421.39100559498,7.945922360206041,16539.475852893578
31.74.08,Pancoran,Jakarta Selatan,141509.6359627994,8.87071398118061,15952.451658684384
31.74.09,Jagakarsa,Jakarta Selatan,369622.1018411916,25.06934997412744,14743.984276523173
31.74.06,Cilandak,Jakarta Selatan,272903.61728373426,17.749147245091482,15375.59036021889
31.74.07,Kebayoran Baru,Jakarta Selatan,201010.0308084778,12.692900389498496,15836.41442382893
31.74.10,Pesanggrahan,Jakarta Selatan,205145.57868323912,13.49388839609102,15202.851295455117
31.71.01,Gambir,Jakarta Pusat,128621.86308344218,7.508914896869307,17129.221045915503
31.71.02,Sawah Besar,Jakarta Pusat,98978.80020722914,5.358573149355866,18471.11114254865
31.71.05,Cempaka Putih,Jakarta Pusat,86954.56177099343,4.666390975354209,18634.221227978658
31.71.06,Menteng,Jakarta Pusat,118329.00166099702,6.473874564777383,18277.926221307007
31.71.03,Kemayoran,Jakarta Pusat,132911.64117820782,7.168174074469709,18541.91036621002
31.71.04,Senen,Jakarta Pusat,83077.74161249105,4.350701249161356,19095.253122357037
31.71.07,Tanah Abang,Jakarta Pusat,153560.4245522089,10.04789458234401,15282.84590306537
31.71.08,Johar Baru,Jakarta Pusat,48056.17369142015,2.368212871830663,20292.16809985161
31.72.02,Tanjung Priok,Jakarta Utara,338222.8747472979,22.50063395092369,15031.70423931159
31.72.03,Koja,Jakarta Utara,184106.60516932208,11.662214667544555,15786.59031904831
31.72.01,Penjaringan,Jakarta Utara,398194.946989144,40.27812845273731,9886.133300766178
31.72.06,Kelapa Gading,Jakarta Utara,252554.71959217425,15.910504858419207,15873.457306323773
31.72.04,Cilincing,Jakarta Utara,418223.86384247016,43.57500783244092,9597.79205205579
31.72.05,Pademangan,Jakarta Utara,153944.06170747307,13.240475155838975,11626.777732337241
31.75.01,Matraman,Jakarta Timur,91779.41724601676,4.858828147025839,18889.208358232696
31.75.02,Pulogadung,Jakarta Timur,259268.214273573,14.909124359714776,17389.902184606435
31.75.05,Pasar Rebo,Jakarta Timur,220177.61080948517,12.47531848057198,17649.057308827138
31.75.06,Cakung,Jakarta Timur,622072.0541247177,41.27781411210201,15070.372971671868
31.75.03,Jatinegara,Jakarta Timur,188216.2391748833,10.34839322012468,18187.967462316396
31.75.04,Kramatjati,Jakarta Timur,234162.53921614535,13.074568776602076,17909.771497412352
31.75.09,Ciracas,Jakarta Timur,297178.9674206046,16.849765636937892,17636.979280538584
31.75.07,Duren Sawit,Jakarta Timur,402364.6424328752,22.079434101991644,18223.50340023345
31.75.08,Makasar,Jakarta Timur,255310.3403485764,21.525639651891908,11860.755103095715
31.75.10,Cipayung,Jakarta Timur,406420.84827480256,27.72715716375784,14657.862177303741
