tship_code,township,district,district_code,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pop_est,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,child_share,elderly_share,area_km2,pop_density
T01,Thongwa,South,MMR013D003,3129.306158443037,3389.20199125728,0.8161351948800738,13,39.45598144445472,1.2608539863701207,882.073560563908,245,4.283411502838135,-0.6969088315963745,15.993385314941406,1.0308566189530408,195292.20160887053,7,5,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,720.8834646671315,270.90675702909465
T02,Kyauktan,South,MMR013D003,2831.998176883561,3079.9409626440306,0.8049719344508194,13,37.87186978258234,1.3372843984051568,822.745461812833,245,3.875187635421753,-1.123222827911377,41.09972381591797,1.1273959858881673,199288.7157236852,3,13,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,802.4981138787064,248.3354319182945
T03,Insein,North,MMR013D001,2182.144778980314,2367.842507737875,0.7911714095153781,13,27.79445649056055,1.2737219252495475,589.1798034667968,245,11.478455543518066,-2.932875871658325,41.23202896118164,4.382091138774324,329520.0589585019,57,102,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,0.1527107660610566,0.0567952570800153,29.82500675693529,11048.44876126902
T04,Hmawbi,North,MMR013D001,2209.34310273487,2469.198209458384,0.8137350424453417,13,31.53465271794429,1.4273316208292242,599.0212612809805,245,12.187408447265623,-3.007007122039795,71.29759216308594,2.4858660412593854,303209.4313773358,12,10,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,0.1527107660610566,0.0567952570800153,471.3539625223326,643.2733263867912
T05,Kayan,South,MMR013D003,3137.477595731697,3386.933283313545,0.8178157464300799,13,36.94993996676378,1.177695739310821,873.8456859691722,245,4.456961154937744,-1.5338441133499146,20.336652755737305,1.0831140905898986,196422.10302846693,0,7,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,636.7257740689168,308.4877525425992
T06,Dagon Myothit (North),East,MMR013D002,2318.7841282963755,2486.989331442118,0.7844077450769286,13,27.378438771219177,1.1807239163455152,624.9657043457031,245,5.297849655151367,1.0,19.06332397460937,2.5257655773881265,235372.89196641487,55,32,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,23.855573921863765,9866.578466623863
T07,Pazundaung,East,MMR013D002,2171.822637188435,2368.622375416756,0.7696972513521722,13,33.19598271721288,1.5284849761114576,581.9227905273438,245,10.579692840576172,0.5,27.65127182006836,7.716304911177572,38069.07889367687,17,18,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,1.1342253741363548,33563.94572169064
T08,Kungyangon,South,MMR013D003,2630.7387015800264,2827.582803003227,0.8035696835105711,13,32.910756397676984,1.251008181766997,775.3484543744254,245,4.1105241775512695,-0.3132815957069397,45.48654556274414,1.392234252847387,136395.141930669,5,6,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,595.4630543276155,229.0572705382764
T09,Kyauktada,West,MMR013D004,2171.822637188435,2368.622375416756,0.7696972513521722,13,33.19598271721288,1.5284849761114576,581.9227905273438,245,14.511956214904783,-4.363089084625244,26.11902236938477,10.024066197242822,28035.100640512657,5,12,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,0.6611901054890482,42400.96820531901
T10,Lanmadaw,West,MMR013D004,2085.999892640114,2275.0960360050203,0.7747541600973279,13,31.524292198518168,1.511231726796492,565.2855102539063,245,15.493855476379396,-7.572336196899414,26.75737190246582,7.223369710027391,40040.01476067617,34,32,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,1.356274842098982,29522.05078043762
