kec_code,kecamatan,kota,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pop_est,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,child_share,elderly_share,area_km2,pop_density
31.73.07,Pal Merah,Jakarta Barat,1791.9944444444445,1889.15,0.5958456792757364,28,4.332608695652189,0.24177578837279193,402.89999999999986,547,10.988039016723633,1.5,27.33860969543457,4.048126737791963,172341.74207509693,85,5,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,7.367792178364768,23391.23280121441
31.73.08,Kembangan,Jakarta Barat,1869.3277777777778,1983.85,0.5687272918248182,28,4.211528326745744,0.225296407447191,388.27499999999975,547,11.689244270324707,-4.185519695281982,26.735036849975586,4.0055621225829094,510804.2443582235,127,9,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,24.928021815149418,20491.166452999263
31.73.05,Kebon Jeruk,Jakarta Barat,1826.7925925925927,1940.4666666666667,0.5770559189464004,28,4.318137900746614,0.2363781152965095,387.4333333333331,547,11.163348197937012,0.341238796710968,25.18728256225586,4.027953613949536,413064.0887942248,132,12,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,17.65588178094775,23395.268155904694
31.73.06,Kalideres,Jakarta Barat,1885.4148148148147,1969.5333333333333,0.568230263557097,28,3.027909530083461,0.16059646430543517,390.6499999999997,547,6.091798305511475,-5.273734092712402,22.475980758666992,3.1439452243805066,562830.366046588,208,14,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,28.977852846598356,19422.77673318565
31.73.03,Taman Sari,Jakarta Barat,1781.8333333333333,1801.1,0.6457996779360209,28,2.6413043478261087,0.1482352079969755,461.04999999999956,547,6.4636549949646,-5.003112316131592,31.22673988342285,5.919398837997515,105137.56183539389,71,7,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,4.497030069448903,23379.33262880721
31.73.04,Tambora,Jakarta Barat,1784.5722222222223,1852.8,0.6188195209575501,28,3.7232872200263647,0.20863751960623791,434.4499999999996,547,5.999784469604492,-4.184829235076904,21.647785186767578,4.339257965219056,127547.91367822667,117,34,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,5.414988928045513,23554.602857565555
31.73.01,Cengkareng,Jakarta Barat,1816.2722222222221,1906.8,0.5849784141614566,28,3.876284584980285,0.21341980224955615,397.92499999999984,547,5.549582004547119,-3.6516220569610596,32.44292068481445,3.6172172230846362,542661.3092542444,229,33,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,25.719132241972947,21099.51860539974
31.73.02,Grogol Petamburan,Jakarta Barat,1725.6518518518517,1808.9333333333336,0.6093525066650451,28,4.041326306543716,0.23419128848074663,403.9999999999998,547,6.659467697143555,-5.7485222816467285,37.592159271240234,4.629138922528912,247849.3703681574,134,22,53.78112447590362,161.9959847831325,494.2871558433735,126.99999749999999,166,0.22401164360355152,0.049250515679170694,10.832629465406722,22879.889980511914
31.74.01,Tebet,Jakarta Selatan,1910.9555555555555,1996.2,0.577929963975713,28,4.230895915678559,0.2214021097130408,405.8499999999996,547,19.44863510131836,6.17595100402832,43.051490783691406,4.1471657536880215,152118.3341741214,104,10,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,9.349760952435679,16269.756515485406
31.74.04,Pasar Minggu,Jakarta Selatan,2325.340740740741,2454.266666666667,0.5064520356919149,28,5.13346508563901,0.22076184344509167,418.93333333333277,547,37.715171813964844,16.811260223388672,70.201416015625,5.634188547292173,331108.3499117717,132,21,64.2578313253012,193.67951772891564,594.2132517469879,135.8,166,0.22140588988026802,0.058149270917992095,21.619649829721677,15315.157854988916
